111	477	176	655	176	655	226	477	226
강원	476	77	649	77	649	155	476	155
자동차운전면허증	571	28	930	28	930	78	571	78
(Driver's	941	41	1080	41	1080	73	941	73
License)	1092	37	1225	37	1225	74	1092	74
22-222222-33	713	82	1236	82	1236	151	713	151
333333	475	230	658	230	658	281	475	281
4444444	705	233	910	233	910	279	705	279
강원도	474	288	621	288	621	332	474	332
춘천시	651	288	795	288	795	332	651	332
춘추로	826	288	977	288	977	330	826	330
162,	1007	290	1098	290	1098	337	1007	337
5555	480	338	600	338	600	382	480	382
5555	627	341	752	341	752	379	627	379
(퇴계동,	482	385	669	385	669	430	482	430
현대1차@)	708	388	924	388	924	432	708	432
적성검사	478	435	670	435	670	483	478	483
2024,01,01	724	437	1000	437	1000	481	724	481
기	478	486	519	486	519	531	478	531
간	628	486	672	486	672	527	628	527
:	708	489	724	489	724	527	708	527
~	746	488	776	488	776	522	746	522
2024.12.31.	802	488	1080	488	1080	533	802	533
555555	1107	526	1229	526	1229	559	1107	559
2014,01.27	468	655	704	655	704	689	468	689
강원지방경찰청장	713	636	1260	636	1260	693	713	693
1종보통	22	0	189	0	189	38	22	38
