1	947	13	973	14	972	51	946	50
12:12	975	13	1055	15	1054	53	974	51
DAILY	375	113	549	113	549	152	375	152
DAY	589	113	706	113	706	152	589	152
CCCG	591	848	494	849	494	818	591	817
디데이	362	1058	453	1058	453	1091	362	1091
를	460	1060	491	1060	491	1091	460	1091
추가해	504	1058	599	1058	599	1091	504	1091
보세요	628	1052	701	1052	701	1091	628	1091
.	703	1052	723	1052	723	1091	703	1091
영화	435	1692	495	1692	495	1723	435	1723
다운로드	509	1688	628	1688	628	1730	509	1730
는	630	1688	642	1688	642	1730	630	1730
그만	644	1688	714	1688	714	1730	644	1730
!	724	1692	730	1692	730	1723	724	1723
KT	306	1734	339	1734	339	1764	306	1764
기가	345	1734	405	1734	405	1764	345	1764
인	410	1730	449	1730	449	1770	410	1770
러넷	451	1730	512	1730	512	1770	451	1770
이면	521	1734	557	1734	557	1764	521	1764
스트리밍	566	1734	681	1734	681	1764	566	1764
도	683	1730	708	1730	708	1770	683	1770
끊김	710	1730	792	1730	792	1770	710	1770
없이	794	1730	827	1730	827	1770	794	1770
!	846	1734	852	1734	852	1764	846	1764
....	98	1738	131	1737	131	1742	98	1743
kt	888	1755	915	1755	915	1776	888	1776
GIGA	923	1758	978	1759	978	1777	923	1776
인터넷	985	1758	1034	1759	1034	1777	985	1776
