7	943	13	966	13	965	48	942	48
5:55	989	19	1057	20	1057	46	989	45
아이디	311	99	446	99	446	166	311	166
/	459	108	480	108	480	160	459	160
비밀번호	491	106	670	106	670	155	491	155
찾기	680	106	766	106	766	155	680	155
이메일	352	328	481	328	481	375	352	375
찾기	504	322	583	322	583	383	504	383
>	864	324	895	323	896	376	865	377
아이디	352	526	483	526	483	571	352	571
찾기	501	518	585	518	585	583	501	583
>	864	522	895	522	896	575	865	575
비밀번호	352	722	527	723	527	770	352	769
찾기	542	713	631	713	631	774	542	774
이용	326	1042	393	1042	393	1079	326	1079
약관	395	1042	445	1042	445	1079	395	1079
|	480	1042	497	1042	497	1079	480	1079
개인	499	1042	568	1042	568	1079	499	1079
정보	570	1042	633	1042	633	1079	570	1079
처리	635	1042	685	1042	685	1079	635	1079
방침	692	1047	743	1047	743	1076	692	1076
Copyright	189	1125	331	1125	331	1156	189	1156
©	340	1123	369	1123	369	1152	340	1152
YTN	378	1125	433	1125	433	1149	378	1149
&	444	1126	464	1126	464	1149	444	1149
YTN	471	1125	527	1125	527	1149	471	1149
PLUS	540	1125	614	1125	614	1149	540	1149
All	622	1124	657	1124	657	1149	622	1149
rights	669	1125	749	1125	749	1156	669	1156
reserved.	761	1125	891	1125	891	1149	761	1149
Σ	65	16	65	45	29	46	29	17
